"[run number]","template","pherosim-amount","pherotimer","density","rock-stigmergy","pheromone-stigmergy","pheromone-sim-stigmergy","number","template-radius","template-width","pheromone-following","pheromone-drop-concentration","ant-stigmergy","[step]","entrance / amount-of-flood-fills"
"155","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9989806320081549"
"156","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9898063200815495"
"157","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"159","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"158","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9836901121304791"
"160","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9745158002038736"
"161","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9785932721712538"
"162","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9806320081549439"
"163","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9867482161060143"
"164","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9989806320081549"
"165","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"167","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9826707441386341"
"168","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"169","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"170","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9857288481141692"
"166","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9989806320081549"
"172","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9877675840978594"
"173","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9989806320081549"
"171","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9938837920489296"
"174","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9959225280326198"
"175","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9857288481141692"
"176","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"177","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9989806320081549"
"178","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"179","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9734964322120285"
"180","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"181","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"183","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"184","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9938837920489296"
"186","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.981651376146789"
"185","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"187","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"188","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"182","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.8399592252803262"
"189","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9979612640163099"
"190","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"191","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"192","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9734964322120285"
